sample	chromosome	start	end	probes	log2
1	1	750000	8410000	367	-0.1015
1	1	8430000	8990000	29	-0.6413
1	1	9010000	16850000	350	-0.1087
1	1	16930000	17050000	6	1.4666
1	1	17210000	24250000	351	-0.0829
1	1	24270000	24350000	5	-4.8343
1	1	24370000	35490000	545	-0.1099
1	1	35510000	40330000	240	0855
1	1	40350000	42270000	97	0.2929
1	1	42290000	58750000	817	-0.0046
1	1	58770000	59150000	20	0.3728
1	1	59170000	59710000	28	0.0052
1	1	59730000	60110000	20	-0.4773
1	1	60130000	60750000	32	0.0236
1	1	60770000	61150000	20	-0.4513
1	1	61170000	61490000	17	0.0554
1	1	61510000	62190000	35	1.7228
1	1	62210000	62570000	19	1.355
1	1	62590000	63690000	56	-0.0624
1	1	63710000	64510000	41	0.7039
1	1	64530000	64730000	11	-0202
1	1	64750000	65350000	31	0.3658
1	1	65370000	66710000	67	0.8576
1	1	66730000	67170000	23	2.6644
1	1	67190000	67490000	16	1806
1	1	67510000	67770000	14	1.1774
1	1	67790000	69390000	79	0.4937
1	1	69410000	78170000	438	-0728
1	1	78190000	79410000	62	0.3267
1	1	79430000	92410000	636	-1.3056
1	1	92430000	94070000	82	-0.6145
1	1	94090000	94290000	11	-1.4681
1	1	94310000	96390000	105	-0.4615
1	1	96410000	99010000	131	-1.463
1	1	99030000	102630000	180	-0287
1	1	102650000	103330000	34	-1.4846
1	1	103350000	103490000	8	-0.1535
1	1	103510000	109270000	260	-1.4429
1	1	109290000	113270000	197	-049
1	1	113290000	119610000	317	-1.1454
1	1	119630000	121270000	53	-0.2952
1	1	121290000	143530000	7	0.0058
1	1	144010000	145110000	15	1773
1	1	145390000	155330000	359	0.8308
1	1	155350000	161470000	305	0.6553
1	1	161490000	161610000	5	1.1944
1	1	161650000	167670000	301	0.6348
1	1	167690000	169290000	80	1.1044
1	1	169310000	169970000	33	1.4884
1	1	169990000	173910000	196	1.1011
1	1	173930000	174910000	50	0.8832
1	1	174930000	179390000	224	1.0626
1	1	179410000	182670000	163	1.423
1	1	182690000	184690000	101	1.1206
1	1	184710000	185110000	21	1.3723
1	1	185130000	188570000	173	1.0794
1	1	188590000	192390000	191	1.3918
1	1	192410000	194610000	111	0.6104
1	1	194630000	196870000	112	0.2497
1	1	196890000	206310000	457	0.6172
1	1	206590000	208130000	76	1.7893
1	1	208150000	209030000	45	1.6025
1	1	209050000	209070000	2	0.9118
1	1	209090000	227030000	878	0.3469
1	1	227050000	227910000	43	1.4344
1	1	227930000	228150000	12	0.4145
1	1	228170000	228730000	29	1.4263
1	1	228790000	229830000	53	0.3622
1	1	229850000	230550000	36	1.452
1	1	230570000	230650000	5	1.8394
1	1	230670000	231110000	23	2.2898
1	1	231130000	231970000	42	1.846
1	1	231990000	232850000	44	0.7046
1	1	232870000	233430000	28	0.2524
1	1	233450000	233690000	13	-0064
1	1	233710000	235850000	105	0.2924
1	1	235870000	236190000	17	0.7488
1	1	236210000	236910000	36	1.1164
1	1	236930000	237570000	33	0.4911
1	1	237590000	237750000	9	1.4083
1	1	237790000	238330000	27	2.0646
1	1	238350000	238890000	28	034
1	1	238910000	241710000	141	0.8155
1	1	241730000	242730000	50	1.3617
1	1	242750000	243270000	21	1.7071
1	1	243290000	243990000	35	1.9343
1	1	244010000	249210000	245	1.3767
1	2	30000	950000	47	0.9017
1	2	970000	26090000	1239	0.6285
1	2	26110000	90230000	3087	0.3113
1	2	90250000	91930000	5	2.1921
1	2	91950000	131150000	1644	0.3198
1	2	131490000	132490000	46	0.7808
1	2	132510000	135470000	135	0.3064
1	2	135490000	135730000	13	0.6568
1	2	135750000	159390000	1169	0.3172
1	2	159410000	160350000	47	0.6963
1	2	160370000	161870000	76	0.3987
1	2	161890000	189790000	1388	-0.0263
1	2	189810000	189950000	8	0319
1	2	189970000	243050000	2630	-0.0584
1	3	70000	47030000	2338	-0.0177
1	3	47050000	59450000	618	-0.1015
1	3	59470000	59950000	25	0.3397
1	3	59970000	60210000	13	-0.6194
1	3	60230000	75550000	760	-0.0865
1	3	75570000	75610000	3	-1.2335
1	3	75630000	75790000	8	-4.8875
1	3	75810000	76150000	18	0.0152
1	3	76170000	76410000	13	-0194
1	3	76430000	90250000	688	-0.0748
1	3	90270000	94950000	74	0.413
1	3	94970000	101410000	319	-0.0105
1	3	101430000	101510000	5	0.3763
1	3	101530000	101950000	22	0.7219
1	3	101970000	103410000	73	0.342
1	3	103430000	109730000	315	-0.0483
1	3	109750000	109850000	6	0.6037
1	3	109870000	114750000	245	-0.0289
1	3	114770000	115390000	32	0.6282
1	3	115410000	121190000	288	-0.0729
1	3	121210000	134330000	650	0.348
1	3	134350000	135790000	73	0.8748
1	3	135810000	136690000	45	0.6903
1	3	136730000	157890000	1054	0.8936
1	3	157910000	158350000	23	0.612
1	3	158370000	162510000	206	0.8964
1	3	162530000	162610000	5	-4.4518
1	3	162630000	166110000	174	0.8447
1	3	166130000	169790000	184	1.1447
1	3	169810000	170110000	16	0.9361
1	3	170130000	174490000	217	1.1223
1	3	174510000	175210000	36	0.3606
1	3	175230000	179410000	209	1.1124
1	3	179430000	180490000	53	1.3008
1	3	180510000	181450000	48	1.0885
1	3	181470000	181690000	12	0.8116
1	3	181710000	183330000	82	1.0868
1	3	183350000	195230000	592	0.2949
1	3	195250000	195790000	25	0.8825
1	3	195810000	196910000	54	0.2225
1	3	196930000	197550000	31	1.0043
1	3	197570000	197850000	15	0.3694
1	4	50000	290000	12	0.1203
1	4	310000	9130000	431	-064
1	4	9150000	9390000	5	-3.4748
1	4	9410000	15970000	325	-0.6373
1	4	15990000	16330000	18	0.0408
1	4	16350000	35310000	942	-0.6531
1	4	35330000	40270000	248	-0.0805
1	4	40290000	49230000	440	-0.601
1	4	52710000	69370000	825	-0.2921
1	4	69390000	69470000	5	-1777
1	4	69490000	70350000	43	0.0476
1	4	70370000	87510000	845	-0.261
1	4	87530000	89050000	77	0.1484
1	4	89070000	91250000	110	-0.0604
1	4	91270000	94070000	140	-0.9218
1	4	94090000	94450000	19	-0.3102
1	4	94470000	181630000	4330	0.1509
1	4	181650000	181810000	9	-0.3401
1	4	181830000	181930000	6	-1.2522
1	4	181950000	191030000	450	0.1001
1	5	30000	25450000	1249	-0915
1	5	25470000	36210000	526	0.8979
1	5	36230000	45890000	483	0.3577
1	5	49570000	50350000	40	1.1479
1	5	50370000	58890000	424	-0707
1	5	58910000	59330000	22	-1.443
1	5	59350000	180710000	5911	-0.0833
1	6	170000	210000	3	-3.4281
1	6	230000	370000	8	0.7495
1	6	390000	12410000	600	-0.0326
1	6	12430000	27730000	748	-0.0976
1	6	27750000	29670000	96	0.0196
1	6	29690000	29970000	14	0807
1	6	29990000	52590000	1118	-0.0126
1	6	52610000	52890000	15	0.4426
1	6	52910000	166230000	5444	-0.0408
1	6	166250000	170890000	223	0.3367
1	7	50000	4990000	243	-0.12
1	7	5010000	5810000	41	0.2565
1	7	5830000	16810000	542	-0.0341
1	7	16830000	17110000	15	0438
1	7	17130000	66690000	2153	-0.0242
1	7	66710000	72850000	287	-0.2218
1	7	72870000	73510000	33	0.1637
1	7	73530000	76150000	81	-0.246
1	7	76310000	77130000	25	0.2056
1	7	77150000	117590000	1989	-0.0276
1	7	117610000	118910000	66	0.2183
1	7	118930000	159110000	1942	-0.2601
1	8	190000	16910000	754	-1.4301
1	8	16930000	17950000	51	-0.9489
1	8	17970000	21810000	190	-1.4923
1	8	21830000	23310000	75	-0.8663
1	8	23330000	25070000	88	-1139
1	8	25090000	31030000	297	-1.2387
1	8	31050000	36930000	294	-1729
1	8	36950000	37050000	6	0665
1	8	37070000	37510000	23	0.9902
1	8	37530000	39210000	85	0.6855
1	8	39230000	39370000	8	-3.0466
1	8	39390000	39950000	29	0.6466
1	8	39970000	43410000	173	-0.0847
1	8	47030000	50930000	171	-0499
1	8	50950000	52950000	100	-0.0127
1	8	52970000	53430000	24	0.6776
1	8	53450000	53570000	7	0.9808
1	8	53590000	54130000	28	1.4405
1	8	54150000	58230000	202	1.057
1	8	58250000	60050000	91	0.6525
1	8	60070000	61030000	49	-0.0303
1	8	61050000	61570000	27	0791
1	8	61590000	62650000	54	0.7475
1	8	62670000	63350000	35	0.4291
1	8	63390000	64270000	45	-0.0136
1	8	64290000	65670000	70	1.7338
1	8	65690000	69310000	181	1.255
1	8	69330000	70770000	72	1.697
1	8	70790000	70930000	8	1.0008
1	8	70950000	71170000	12	0.6322
1	8	71190000	72430000	63	0.0295
1	8	72450000	73350000	46	0.8585
1	8	73370000	73910000	28	0.1058
1	8	73930000	76430000	126	0.6172
1	8	76450000	78170000	85	0.3531
1	8	78190000	78670000	25	1.3815
1	8	78690000	79250000	29	0.3669
1	8	79270000	79530000	14	1.474
1	8	79550000	80690000	58	0.6951
1	8	80710000	81250000	27	1.3333
1	8	81270000	82710000	73	0.4013
1	8	82730000	83330000	31	-0.001
1	8	83350000	84090000	38	-0.4939
1	8	84110000	84430000	17	-0.1202
1	8	84450000	84610000	9	0.6233
1	8	84630000	84950000	17	0.9145
1	8	84970000	85570000	31	0.6136
1	8	85590000	86110000	27	1.0362
1	8	86130000	86270000	8	0.483
1	8	86290000	86550000	14	-0.6517
1	8	86850000	87090000	13	-1184
1	8	87110000	87870000	39	-0.4484
1	8	87890000	88930000	53	-1.2508
1	8	88950000	89830000	45	0.6344
1	8	89850000	90010000	9	-0.0284
1	8	90030000	90870000	43	0.671
1	8	90890000	91310000	22	-0.3577
1	8	91330000	91970000	33	2.2865
1	8	91990000	93190000	61	-0474
1	8	93210000	93990000	40	0.6805
1	8	94010000	98850000	241	-0.458
1	8	98870000	99110000	13	1.0615
1	8	99130000	99570000	23	0.3512
1	8	99590000	99890000	16	0.0485
1	8	99910000	100310000	21	0.7049
1	8	100330000	100750000	22	1.6862
1	8	100770000	100870000	6	1.0092
1	8	100890000	102350000	74	0.1227
1	8	102370000	102770000	20	0.9262
1	8	102790000	103470000	35	0.3266
1	8	103510000	106890000	170	0.6717
1	8	106910000	106990000	5	0.0792
1	8	107010000	107930000	46	0.6066
1	8	107950000	109010000	54	-0.0309
1	8	109030000	109250000	12	0.6531
1	8	109270000	109590000	16	0.0172
1	8	109610000	110270000	34	0.729
1	8	110290000	110850000	29	0.2839
1	8	110870000	111530000	34	1.611
1	8	111550000	111630000	5	0.4914
1	8	111650000	112090000	23	0.9514
1	8	112110000	112450000	18	0.6264
1	8	112470000	113250000	40	0.038
1	8	113270000	113670000	21	2.3037
1	8	113690000	114050000	19	1.8357
1	8	114070000	114210000	8	0.9956
1	8	114230000	114470000	13	1.6208
1	8	114490000	114730000	13	1.9476
1	8	114750000	114910000	9	0.7098
1	8	114930000	115290000	19	2.0156
1	8	115310000	120410000	255	1.8196
1	8	120430000	120850000	22	2.2237
1	8	120870000	121150000	15	1.979
1	8	121170000	122050000	45	2.1912
1	8	122070000	123950000	95	-0.4704
1	8	123970000	125530000	79	1.1418
1	8	125550000	126130000	30	1.6342
1	8	126150000	126470000	17	1.2941
1	8	126490000	127030000	28	134
1	8	127050000	128270000	61	1.1953
1	8	128290000	128730000	23	2874
1	8	128750000	129610000	44	2.2779
1	8	129630000	146290000	816	-0.4931
1	9	210000	8070000	389	-0.0078
1	9	8090000	9130000	53	-0796
1	9	9150000	9690000	28	-1.7537
1	9	9710000	23590000	691	-0.4771
1	9	23610000	24130000	27	-1.2916
1	9	24150000	29650000	274	-0637
1	9	29670000	31950000	115	0.3775
1	9	31970000	44790000	343	-0.4714
1	9	44810000	130570000	2943	0.3116
1	9	130590000	133070000	124	0.1545
1	9	133230000	141070000	381	0.3171
1	10	110000	3430000	166	-0431
1	10	3450000	3510000	4	0512
1	10	3530000	3910000	20	1.0306
1	10	3930000	5490000	78	0.4257
1	10	5510000	5990000	25	1.6388
1	10	6010000	6750000	38	1.9591
1	10	6770000	7110000	18	1.4751
1	10	7130000	7630000	26	0.2997
1	10	7650000	8530000	44	-0299
1	10	8550000	8750000	11	0.4451
1	10	8770000	8830000	4	0986
1	10	8850000	10430000	79	1299
1	10	10450000	10790000	18	1.2068
1	10	10810000	11030000	12	0581
1	10	11050000	12230000	60	1.7261
1	10	12250000	12390000	8	26
1	10	12410000	13430000	52	1.3114
1	10	13450000	14130000	35	1.0948
1	10	14150000	14610000	24	-005
1	10	14630000	14950000	17	0.9699
1	10	14970000	16010000	53	-0576
1	10	16030000	17150000	57	1959
1	10	17170000	17770000	30	0.8726
1	10	18230000	27170000	446	-0904
1	10	27190000	46210000	743	-0.0183
1	10	46970000	47130000	9	0.8674
1	10	47150000	135430000	4220	-0.0643
1	11	210000	48410000	2383	-0.037
1	11	48430000	55350000	101	0.1702
1	11	55370000	55450000	5	-1.4833
1	11	55470000	57010000	78	0.0892
1	11	57030000	59170000	108	0.6192
1	11	59190000	65930000	336	-0.0149
1	11	65950000	67430000	75	1.1408
1	11	67450000	73250000	274	-0.4578
1	11	73270000	74450000	59	1.2133
1	11	74470000	74610000	8	0.3146
1	11	74630000	75150000	26	1.2723
1	11	75170000	75410000	13	2.7126
1	11	75430000	76630000	60	2.3547
